vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
923.4357974,640.9176989,921.6028605,1461.25903,938.7670651,1503.171638,930.2904062,648.054659,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.611667685,-15.40660955,-5.794941865,-289.7470932
923.5041177,640.9176943,921.6028539,1461.327347,938.8774357,1503.171628,930.2903995,648.1650316,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.519875406,-15.49902385,-5.979148439,-298.9574219
923.5718109,640.9176897,921.6028473,1461.395036,938.9884367,1503.171617,930.2903929,648.2760348,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.436051064,-15.58314485,-6.147093788,-307.3546893
923.6389312,640.9176851,921.6028407,1461.462152,939.1000115,1503.171606,930.2903862,648.3876117,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.35948139,-15.65968616,-6.300204766,-315.0102382
923.7055281,640.9176806,921.6028341,1461.528745,939.2121083,1503.171596,930.2903796,648.4997106,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.289515721,-15.72929875,-6.439783028,-321.9891514
923.7716468,640.917676,921.6028276,1461.59486,939.3246798,1503.171585,930.2903729,648.612284,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.225560501,-15.79257652,-6.567016018,-328.3508008
923.8373282,640.9176714,921.602821,1461.660538,939.4376825,1503.171574,930.2903663,648.7252888,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.167074272,-15.85006125,-6.682986983,-334.1493491
923.9026096,640.9176668,921.6028144,1461.725815,939.5510769,1503.171563,930.2903596,648.8386853,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.113563103,-15.90224723,-6.788684124,-339.4342061
923.9675249,640.9176622,921.6028078,1461.790727,939.6648267,1503.171553,930.290353,648.9524372,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.06457642,-15.94958535,-6.885008932,-344.2504465
924.032105,640.9176577,921.6028012,1461.855303,939.7788988,1503.171542,930.2903464,649.0665114,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-9.019703202,-15.992487,-6.972783795,-348.6391897
924.096378,640.9176531,921.6027946,1461.919572,939.8932629,1503.171531,930.2903397,649.1808775,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.978568509,-16.03132745,-7.052758942,-352.637947
924.1603692,640.9176485,921.6027881,1461.98356,940.0078911,1503.17152,930.2903331,649.2955078,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.940830317,-16.06644909,-7.125618773,-356.2809386
924.2241019,640.9176439,921.6027815,1462.047289,940.122758,1503.17151,930.2903264,649.4103768,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.906176632,-16.09816427,-7.191987635,-359.5993817
924.2875971,640.9176393,921.6027749,1462.11078,940.2378403,1503.171499,930.2903198,649.5254612,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.874322853,-16.12675794,-7.252435091,-362.6217545
924.3508738,640.9176348,921.6027683,1462.174053,940.3531166,1503.171488,930.2903131,649.6407395,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.845009368,-16.1524901,-7.30748073,-365.3740364
924.4139494,640.9176302,921.6027617,1462.237124,940.4685673,1503.171477,930.2903065,649.7561924,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.817999364,-16.17559791,-7.357598547,-367.8799273
924.4768395,640.9176256,921.6027551,1462.300011,940.5841745,1503.171467,930.2902998,649.8718016,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.793076823,-16.19629777,-7.403220949,-370.1610474
924.5395583,640.917621,921.6027486,1462.362726,940.6999217,1503.171456,930.2902932,649.9875509,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.770044703,-16.2147871,-7.444742398,-372.2371198
924.6021187,640.9176165,921.602742,1462.425282,940.8157936,1503.171445,930.2902866,650.1034249,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.748723266,-16.23124601,-7.482522747,-374.1261373
924.6645324,640.9176119,921.6027354,1462.487692,940.9317765,1503.171434,930.2902799,650.2194099,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.728948568,-16.24583884,-7.516890272,-375.8445135
924.7268098,640.9176073,921.6027288,1462.549966,941.0478575,1503.171424,930.2902733,650.3354929,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.710571066,-16.25871551,-7.548144446,-377.4072222
