vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
1091.926063,295.7175923,1066.781267,1523.556804,1073.60797,1517.663448,1086.428056,282.8854604,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.51743573,13.70664378,39.22407951,1960.792206
1091.926055,295.7175902,1066.78126,1523.556793,1073.510108,1517.565583,1086.330193,282.7876039,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.52755266,13.69261684,39.22016951,1960.596747
1091.926047,295.7175881,1066.781252,1523.556782,1073.412346,1517.467818,1086.232432,282.6898482,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.53783697,13.678426,39.21626297,1960.401461
1091.92604,295.717586,1066.781245,1523.556771,1073.314687,1517.370155,1086.134772,282.5921944,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.54828832,13.66407163,39.21235995,1960.206351
1091.926032,295.7175839,1066.781237,1523.55676,1073.21713,1517.272596,1086.037216,282.4946437,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.55890639,13.6495541,39.20846049,1960.011419
1091.926024,295.7175818,1066.781229,1523.55675,1073.119678,1517.175141,1085.939764,282.3971973,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.56969085,13.63487379,39.20456465,1959.816667
1091.926016,295.7175796,1066.781222,1523.556739,1073.022332,1517.077791,1085.842417,282.2998563,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.58064137,13.62003109,39.20067246,1959.622099
1091.926008,295.7175775,1066.781214,1523.556728,1072.925092,1516.980548,1085.745177,282.202622,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.59175761,13.60502637,39.19678398,1959.427715
1091.926001,295.7175754,1066.781206,1523.556717,1072.82796,1516.883412,1085.648045,282.1054954,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.60303923,13.58986001,39.19289925,1959.23352
1091.925993,295.7175733,1066.781199,1523.556706,1072.730936,1516.786386,1085.551021,282.0084777,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.61448591,13.5745324,39.18901831,1959.039514
1091.925985,295.7175712,1066.781191,1523.556695,1072.634023,1516.689469,1085.454108,281.91157,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.62609729,13.55904393,39.18514123,1958.8457
1091.925977,295.7175691,1066.781184,1523.556684,1072.537221,1516.592664,1085.357306,281.8147736,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.63787305,13.54339498,39.18126804,1958.652081
1091.925969,295.717567,1066.781176,1523.556673,1072.440531,1516.495971,1085.260616,281.7180895,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.64981283,13.52758595,39.17739879,1958.458659
1091.925962,295.7175649,1066.781168,1523.556662,1072.343955,1516.399392,1085.164039,281.6215189,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.6619163,13.51161722,39.17353352,1958.265437
1091.925954,295.7175627,1066.781161,1523.556652,1072.247493,1516.302927,1085.067578,281.525063,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.6741831,13.49548918,39.16967229,1958.072416
1091.925946,295.7175606,1066.781153,1523.556641,1072.151147,1516.206578,1084.971232,281.4287228,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.68661289,13.47920224,39.16581513,1957.879598
1091.925938,295.7175585,1066.781145,1523.55663,1072.054918,1516.110346,1084.875003,281.3324995,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.69920532,13.46275678,39.1619621,1957.686987
1091.92593,295.7175564,1066.781138,1523.556619,1071.958808,1516.014232,1084.778892,281.2363942,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.71196003,13.4461532,39.15811324,1957.494585
1091.925923,295.7175543,1066.78113,1523.556608,1071.862816,1515.918237,1084.6829,281.1404081,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.72487668,13.42939191,39.1542686,1957.302393
1091.925915,295.7175522,1066.781123,1523.556597,1071.766944,1515.822362,1084.587028,281.0445423,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.7379549,13.41247331,39.15042822,1957.110414
1091.925907,295.7175501,1066.781115,1523.556586,1071.671194,1515.726609,1084.491278,280.9487979,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.75119435,13.39539779,39.14659214,1956.918651
1091.925899,295.717548,1066.781107,1523.556575,1071.575567,1515.630978,1084.395651,280.853176,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.76459466,13.37816576,39.14276042,1956.727105
1091.925891,295.7175458,1066.7811,1523.556565,1071.480063,1515.535471,1084.300147,280.7576778,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.77815547,13.36077763,39.1389331,1956.535779
1091.925884,295.7175437,1066.781092,1523.556554,1071.384684,1515.440089,1084.204767,280.6623043,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.79187643,13.3432338,39.13511023,1956.344676
1091.925876,295.7175416,1066.781085,1523.556543,1071.28943,1515.344833,1084.109514,280.5670567,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.80575716,13.32553468,39.13129184,1956.153796
1091.925868,295.7175395,1066.781077,1523.556532,1071.194304,1515.249703,1084.014388,280.4719361,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.8197973,13.30768068,39.12747799,1955.963144
1091.92586,295.7175374,1066.781069,1523.556521,1071.099306,1515.154702,1083.919389,280.3769436,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.83399649,13.28967222,39.12366872,1955.77272
1091.925852,295.7175353,1066.781062,1523.55651,1071.004437,1515.05983,1083.82452,280.2820802,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.84835436,13.27150971,39.11986407,1955.582528
1091.925845,295.7175332,1066.781054,1523.556499,1070.909698,1514.965088,1083.729781,280.1873471,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.86287053,13.25319356,39.11606409,1955.392569
1091.925837,295.7175311,1066.781046,1523.556488,1070.815091,1514.870477,1083.635174,280.0927454,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.87754464,13.23472418,39.11226883,1955.202845
1091.925829,295.7175289,1066.781039,1523.556477,1070.720616,1514.775999,1083.540699,279.9982762,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.89237631,13.21610201,39.10847832,1955.01336
1091.925821,295.7175268,1066.781031,1523.556467,1070.626275,1514.681655,1083.446358,279.9039405,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.90736516,13.19732745,39.10469262,1954.824114
1091.925813,295.7175247,1066.781024,1523.556456,1070.532068,1514.587445,1083.352151,279.8097395,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.92251083,13.17840093,39.10091176,1954.635111
1091.925806,295.7175226,1066.781016,1523.556445,1070.437997,1514.493371,1083.25808,279.7156742,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.93781292,13.15932287,39.0971358,1954.446353
1091.925798,295.7175205,1066.781008,1523.556434,1070.344063,1514.399433,1083.164146,279.6217457,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.95327107,13.14009369,39.09336477,1954.257841
1091.92579,295.7175184,1066.781001,1523.556423,1070.250267,1514.305634,1083.070349,279.5279551,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.96888488,13.12071383,39.08959871,1954.069578
1091.925782,295.7175163,1066.780993,1523.556412,1070.156609,1514.211973,1082.976692,279.4343035,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,-25.98465398,13.1011837,39.08583769,1953.881566
