vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
999.7660771,999.9917171,999.9998223,999.7660753,999.7660771,999.9916589,999.9998223,999.7660753,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.325078215,1.325078199,-1.53E-08,-7.60E-07
999.7566114,999.99171,999.9998152,999.7566096,999.7566114,999.9916518,999.9998152,999.7566096,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.323315291,1.323315276,-1.55E-08,-7.68E-07
999.7471584,999.9917029,999.999808,999.7471566,999.7471584,999.9916446,999.999808,999.7471566,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.321536946,1.321536931,-1.56E-08,-7.76E-07
999.7377181,999.9916957,999.9998009,999.7377163,999.7377181,999.9916375,999.9998009,999.7377163,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.319743218,1.319743203,-1.58E-08,-7.83E-07
999.7282907,999.9916886,999.9997938,999.7282889,999.7282907,999.9916304,999.9997938,999.7282889,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.317934146,1.31793413,-1.59E-08,-7.90E-07
999.7188762,999.9916814,999.9997866,999.7188745,999.7188762,999.9916232,999.9997866,999.7188745,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.316109767,1.316109751,-1.60E-08,-7.96E-07
999.7094749,999.9916743,999.9997795,999.7094731,999.7094749,999.9916161,999.9997795,999.7094731,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.314270122,1.314270106,-1.61E-08,-8.01E-07
999.7000867,999.9916671,999.9997723,999.7000849,999.7000867,999.9916089,999.9997723,999.7000849,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.31241525,1.312415234,-1.62E-08,-8.06E-07
999.6907119,999.99166,999.9997652,999.6907101,999.6907119,999.9916018,999.9997652,999.6907101,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.31054519,1.310545174,-1.63E-08,-8.11E-07
999.6813504,999.9916529,999.999758,999.6813486,999.6813504,999.9915946,999.999758,999.6813486,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.308659981,1.308659965,-1.64E-08,-8.15E-07
999.6720025,999.9916457,999.9997509,999.6720007,999.6720025,999.9915875,999.9997509,999.6720007,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.306759663,1.306759647,-1.65E-08,-8.19E-07
999.6626682,999.9916386,999.9997438,999.6626664,999.6626682,999.9915804,999.9997438,999.6626664,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.304844276,1.30484426,-1.65E-08,-8.22E-07
999.6533476,999.9916314,999.9997366,999.6533459,999.6533476,999.9915732,999.9997366,999.6533459,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.30291386,1.302913844,-1.66E-08,-8.25E-07
999.6440409,999.9916243,999.9997295,999.6440391,999.6440409,999.9915661,999.9997295,999.6440391,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1.300968455,1.300968439,-1.66E-08,-8.28E-07
