,vc1,vc2,vc3,vc4,vc5,vc6,vc7,vc8,g1upper,g1lower,g2upper,g2lower,g3upper,g3lower,g4upper,g4lower,g5upper,g5lower,g6upper,g6lower,g7upper,g7lower,g8upper,g8lower,i1,i2,iout,vout
72,926.3764549,640.9174837,921.6025511,1464.199507,944.1912162,1503.171134,930.2900939,653.4789077,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.437647724,-16.26406729,-7.826419566,-396.58353597559244
73,926.4366893,640.9174791,921.6025445,1464.259738,944.3073583,1503.171123,930.2900872,653.5950519,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.429836805,-16.25761884,-7.827782041,-396.52764440928536
74,926.4968678,640.9174745,921.6025379,1464.319912,944.4234535,1503.171112,930.2900806,653.7111491,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.421981284,-16.25090888,-7.828927592,-396.4717414123854
75,926.5569899,640.91747,921.6025313,1464.380031,944.5394998,1503.171102,930.2900739,653.8271975,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.414071888,-16.24394715,-7.829875267,-396.4158286835641
76,926.6170554,640.9174654,921.6025247,1464.440092,944.6554955,1503.171091,930.2900673,653.9431953,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.406100177,-16.23674262,-7.830642443,-396.3599077721642
77,926.6770636,640.9174608,921.6025182,1464.500097,944.7714389,1503.17108,930.2900606,654.0591408,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.398058477,-16.22930345,-7.83124497,-396.3039800917211
78,926.7370141,640.9174562,921.6025116,1464.560043,944.8873284,1503.171069,930.290054,654.1750323,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.389939811,-16.22163712,-7.831697311,-396.2480469314139
79,926.7969063,640.9174517,921.602505,1464.619932,945.0031623,1503.171059,930.2900473,654.2908683,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.381737838,-16.21375049,-7.832012656,-396.1921094673212
80,926.8567397,640.9174471,921.6024984,1464.679761,945.1189391,1503.171048,930.2900407,654.4066472,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.373446797,-16.20564984,-7.832203041,-396.1361687722567
81,926.9165134,640.9174425,921.6024918,1464.739531,945.2346573,1503.171037,930.2900341,654.5223675,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.365061458,-16.1973409,-7.832279444,-396.08022582474246
82,926.9762269,640.9174379,921.6024852,1464.799241,945.3503155,1503.171026,930.2900274,654.6380277,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.356577073,-16.18882895,-7.832251879,-396.0242815172926
83,927.0358795,640.9174333,921.6024787,1464.858889,945.4659121,1503.171016,930.2900208,654.7536264,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.347989336,-16.18011882,-7.832129484,-395.96833666413545
84,927.0954703,640.9174288,921.6024721,1464.918476,945.5814458,1503.171005,930.2900141,654.8691622,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.339294343,-16.17121493,-7.831920592,-395.91239200787095
85,927.1549986,640.9174242,921.6024655,1464.978001,945.6969153,1503.170994,930.2900075,654.9846338,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.330488557,-16.16212137,-7.831632808,-395.8564482258423
86,927.2144636,640.9174196,921.6024589,1465.037462,945.8123191,1503.170984,930.2900008,655.1000397,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.321568778,-16.15284185,-7.831273068,-395.80050593593546
87,927.2738645,640.917415,921.6024523,1465.096859,945.927656,1503.170973,930.2899942,655.2153786,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.31253211,-16.14337981,-7.830847698,-395.7445657015569
88,927.3332004,640.9174105,921.6024458,1465.156191,946.0429247,1503.170962,930.2899875,655.3306494,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.303375937,-16.13373841,-7.830362472,-395.68862803675665
89,927.3924705,640.9174059,921.6024392,1465.215457,946.1581238,1503.170951,930.2899809,655.4458506,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.294097898,-16.12392055,-7.829822655,-395.6326934103279
90,927.4516738,640.9174013,921.6024326,1465.274657,946.2732523,1503.170941,930.2899743,655.5609811,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.284695864,-16.11392891,-7.829233051,-395.5767622498065
91,927.5108096,640.9173967,921.602426,1465.333789,946.3883087,1503.17093,930.2899676,655.6760396,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.275167921,-16.10376596,-7.828598042,-395.5208349451493
92,927.5698768,640.9173921,921.6024194,1465.392852,946.5032919,1503.170919,930.289961,655.7910249,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.265512345,-16.09343397,-7.827921627,-395.4649118519635
93,927.6288746,640.9173876,921.6024128,1465.451846,946.6182008,1503.170908,930.2899543,655.9059359,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.255727592,-16.08293504,-7.827207452,-395.40899329454214
94,927.6878021,640.917383,921.6024063,1465.51077,946.733034,1503.170898,930.2899477,656.0207712,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.245812279,-16.07227112,-7.826458844,-395.3530795686495
95,927.7466582,640.9173784,921.6023997,1465.569622,946.8477905,1503.170887,930.289941,656.1355298,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.235765169,-16.06144401,-7.825678838,-395.29717094402076
96,927.8054421,640.9173738,921.6023931,1465.628402,946.9624691,1503.170876,930.2899344,656.2502104,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.225585162,-16.05045536,-7.824870203,-395.2412676665849
97,927.8641528,640.9173693,921.6023865,1465.687109,947.0770687,1503.170865,930.2899277,656.3648121,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.21527128,-16.03930674,-7.824035465,-395.1853699605779
98,927.9227894,640.9173647,921.6023799,1465.745742,947.191588,1503.170855,930.2899211,656.4793335,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.204822658,-16.02799958,-7.823176927,-395.1294780305923
99,927.9813509,640.9173601,921.6023733,1465.804299,947.306026,1503.170844,930.2899144,656.5937735,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.194238533,-16.01653523,-7.822296693,-395.0735920630209
100,928.0398362,640.9173555,921.6023668,1465.862781,947.4203816,1503.170833,930.2899078,656.7081312,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.183518236,-16.00491491,-7.821396679,-395.01771222786374
101,928.0982445,640.9173509,921.6023602,1465.921185,947.5346536,1503.170822,930.2899012,656.8224052,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,-8.172661183,-15.99313982,-7.820478635,-394.96183868002777
